"GEOID" "total" "p0_17" "p30_99" "p0_1" "p0_99" "p8_12" "p0_17.1" "p65_99" "p6_18" "p6_14" "p18_64" "p5_17"
"80442" 2759 550 1836 32.4 2759 172.2 550 388 362.3 309.8 1821 388
"80443" 3345 491 2281 25.6 3345 157.2 491 462 343.8 274.8 2392 363
"80444" 1175 163 784 5.6 1175 49.6 163 177 131.4 90.4 835 135
"80446" 3604 908 2283 59.6 3604 284.6 908 355 614.6 498.6 2341 610
"80447" 1675 194 1473 8 1675 57.8 194 489 153 97 992 154
"80448" 278 8 270 0 278 0 8 123 8 0 147 8
"80449" 753 4 723 0.8 753 0 4 224 5.5 0 525 0
"80451" 812 214 489 10.8 812 76 214 47 171.7 133.2 551 160
"80452" 2762 544 1788 39.4 2762 148.2 544 321 342.7 258.2 1897 347
"80453" 267 48 175 0 267 24 48 16 54.7 43.2 203 48
"80454" 1124 247 741 11.4 1124 60.2 247 164 177.9 111.4 713 190
"80455" 531 70 371 3.8 531 18 70 101 65.1 31.6 360 51
"80456" 798 63 701 6 798 17 63 148 30.2 30.2 587 33
"80457" 663 249 323 11.8 663 68.2 249 9 182.6 118.6 405 190
"80459" 2651 836 1513 33 2651 275.2 836 171 677.8 480.8 1644 671
"80461" 7170 1652 4324 111.6 7170 429 1652 654 1060.3 781.8 4864 1094
"80463" 140 26 108 0 140 7 26 24 28.2 12.2 90 26
"80465" 16003 3632 10711 174.6 16003 1011.2 3632 1980 2667.7 1833.2 10391 2759
"80466" 3269 639 2205 24.8 3269 220.4 639 330 481.6 399.6 2300 515
"80467" 2173 353 1540 27 2173 92.2 353 233 218.1 166.6 1587 218
"80468" 350 5 307 1 350 0 5 57 0 0 288 0
"80469" 271 41 184 3.6 271 9.2 41 36 18.4 18.4 194 23
"80470" 3551 666 2610 30.6 3551 212.6 666 387 478.9 383.4 2498 513
"80471" 0 0 0 0 0 0 0 0 0 0 0 0
"80473" 52 0 52 0 52 0 0 43 0 0 9 0
"80475" 66 0 66 0 66 0 0 34 0 0 32 0
"80476" 248 35 188 2.6 248 8.8 35 49 21.6 15.6 164 22
"80477" 414 118 198 14.8 414 26.4 118 40 80 44 256 44
"80478" 1531 127 829 0 1531 27 127 205 141.5 45 1199 127
"80479" 26 0 26 0 26 0 0 5 0 0 21 0
"80480" 1290 267 912 11 1290 87.6 267 234 196.8 160.8 789 212
"80481" 778 136 632 2.4 778 33 136 144 120.2 58.2 498 124
"80482" 1084 158 821 10 1084 45.2 158 83 92.6 85.6 843 108
"80483" 496 83 373 2.8 496 28.8 83 78 72.9 52.4 335 69
"80487" 16944 3226 10637 131.6 16944 921.2 3226 1700 2568.5 1680 12018 2568
"80488" 46 0 35 0 46 0 0 0 0 0 46 0
"80497" 364 12 312 0 364 0 12 0 12 0 352 12
"80498" 7299 1318 4940 95.2 7299 347.8 1318 588 842.9 599.4 5393 842
"80501" 41201 10502 23576 615.6 41201 2932.4 10502 5017 7347.7 5313.2 25682 7424
"80503" 32657 8361 20324 309.6 32657 2558.6 8361 4527 6765.9 4559.4 19769 6813
"80504" 48431 13513 28450 815.8 48431 3631.6 13513 4797 9036.5 6610 30121 9434
"80510" 560 72 400 4.2 560 25.8 72 129 49.8 43.8 359 51
"80511" 129 0 63 0 129 0 0 10 4.5 0 119 0
"80512" 1962 292 1463 17.8 1962 70.6 292 499 205.9 137.4 1171 203
"80513" 10660 2543 7268 76.8 10660 871.8 2543 1680 2139 1545 6437 2159
"80514" 4554 1134 2678 63 4554 285.2 1134 473 797.2 523.2 2947 819
"80515" 1059 110 906 0 1059 36.4 110 217 104.4 64.4 732 110
"80516" 21987 6329 13648 331 21987 1847.4 6329 1617 4423.7 3372.2 14041 4674
"80517" 9133 1242 6980 70.6 9133 333.8 1242 3054 860.4 623.4 4837 889
"80520" 1475 407 835 21 1475 137.2 407 107 280.7 247.2 961 302
"80521" 35697 4143 11494 241 35697 1103.4 4143 1943 5660.6 2008.6 29611 2938
"80524" 32068 6548 19006 425.2 32068 1795.4 6548 4304 4354.6 3238.6 21216 4422
"80525" 49259 9930 28977 557.8 49259 2729.4 9930 6235 7222.8 4885.8 33094 7141
"80526" 45522 9708 23500 574.8 45522 2582.8 9708 4127 6896.8 4678.8 31687 6834
"80528" 18576 5899 10774 217.8 18576 1904.8 5899 1615 4678.4 3404.4 11062 4810
"80530" 3622 997 2065 38.6 3622 329.2 997 306 834.7 581.2 2319 804
"80532" 100 0 100 0 100 0 0 62 0 0 38 0
"80534" 13068 3875 7543 209.8 13068 1164 3875 1235 2727 2070 7958 2826
"80535" 2962 521 2176 20.4 2962 160 521 501 427.5 284 1940 419
"80536" 2029 386 1548 16.6 2029 121.2 386 629 274.8 222.8 1014 303
"80537" 40278 8657 25948 502.8 40278 2426.6 8657 6329 6124.1 4320.6 25292 6143
"80538" 45636 10353 29009 496 45636 3010.8 10353 7516 7777.2 5399.2 27767 7873
"80540" 4888 884 3459 40.6 4888 214.6 884 702 646.6 398.6 3302 681
"80542" 3705 1062 2377 40.4 3705 335 1062 332 821.4 597.4 2311 860
"80543" 6094 1715 3310 108.6 6094 515 1715 468 1144.5 923 3911 1172
"80544" 0 0 0 0 0 0 0 0 0 0 0 0
"80545" 638 29 568 0 638 4 29 270 27 8 339 29
"80546" 110 12 72 1.6 110 1.6 12 37 5.7 3.2 61 4
"80547" 1223 448 654 35.2 1223 105.8 448 135 253.1 192.6 640 272
"80549" 9540 2920 5302 159.2 9540 813 2920 685 2075.7 1454.2 5935 2124
"80550" 22406 6297 13506 328.2 22406 1834 6297 2123 4437.6 3299.6 13986 4656
"80601" 35764 10561 19960 495.8 35764 3292.4 10561 3293 7900.1 5887.6 21910 8082
"80602" 28909 8860 16837 493.2 28909 2567.2 8860 2045 5999.4 4636.4 18004 6394
"80603" 11502 3334 6606 232.2 11502 891.2 3334 1040 2067.3 1604.8 7128 2173
"80610" 2732 797 1661 47.4 2732 217.8 797 399 532.8 393.8 1536 560
"80611" 626 154 441 2.6 626 37 154 81 134.8 67.8 391 141
"80612" 428 47 364 0 428 19.4 47 107 53.3 33.8 274 47
"80615" 7694 2207 4685 112.2 7694 670.8 2207 953 1633.5 1198 4534 1646
"80620" 17633 5672 8047 300.2 17633 1610.2 5672 1228 4079.1 2952.6 10733 4171
"80621" 11924 3293 7023 158.6 11924 992.6 3293 1336 2453.3 1789.8 7295 2500
"80622" 238 123 83 4.6 238 38.8 123 3 102 66 112 100
"80623" 976 278 558 11 976 75.6 278 118 219 138 580 223
"80624" 1224 436 592 24.6 1224 139.4 436 44 304.2 248.2 744 313
"80631" 50466 12768 21524 812.6 50466 3358 12768 4507 10122 6082 33191 8705
"80634" 55464 14164 33162 701.8 55464 4150.6 14164 7615 10291 7473 33685 10655
