"GEOID" "mort_ac" "mort_ac_se" "mort_na" "mort_na_se" "hosp_cp" "hosp_cp_se" "hosp_cvd" "hosp_cvd_se" "hosp_res" "hosp_res_se" "ed_ast" "ac_bronchitis" "minor_lrs" "minor_wld" "minor_mrad" "minor_asts" "minor_sld" "minor_astc" "minor_ast" "minor_astw" "hosp_mi" "ed_ast_se" "hosp_mi_se" "minor_astc_se" "minor_asts_se" "minor_astw_se" "minor_ast_se" "minor_mrad_se" "minor_sld_se" "minor_wld_se" "minor_lrs_se" "ac_bronchitis_se"
80033 0.0000556019634648492 0.0160640606365729 0.0000556019634648492 0.0160640606365729 0.000440309008931392 0.0679988805555323 0.000270181786852761 0.0417253762240052 0.000170127222078631 0.0262735043315271 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80045 0.000294878142707818 0.0104046447903463 0.000294878142707818 0.0104046447903463 0.00143650499814883 0.0195385803679724 0.000814513143280267 0.011078576497304 0.000621991854868567 0.00846000387066847 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80101 0.0000349752258816672 0.00119889034107859 0.0000349752258816672 0.00119889034107859 0.000287446665169549 0.00502004019124487 0.000197619582304065 0.00345127763148085 0.0000898270828654839 0.00156876255976402 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80102 0.000028039839939247 0.00359249335698512 0.000028039839939247 0.00359249335698512 0.000448079892250583 0.0204601345258268 0.000275943628658717 0.0126000828458171 0.000172136263591866 0.00786005168000969 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80103 0.0000225009309364032 0.00209210263013705 0.0000225009309364032 0.00209210263013705 0.000275503175939389 0.0116560962554071 0.00017295477156195 0.00731743820478334 0.000102548404377439 0.00433865805062375 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80104 0.0000208747185669473 0.00607827214864621 0.0000208747185669473 0.00607827214864621 0.000421928615816919 0.0475021169845374 0.000261327713382508 0.0294211370052796 0.000160600902434411 0.0180809799792578 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80105 0.0000299870510461392 0.00190128308949086 0.0000299870510461392 0.00190128308949086 0.00026279004752586 0.00822662974109512 0.000178920883421862 0.00560110961095838 0.0000838691641039978 0.00262552013013674 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80106 0.0000166705531547533 0.00195870132052126 0.0000166705531547533 0.00195870132052126 0.000328491080362996 0.0146353744027246 0.00022083433973983 0.00983890716149553 0.000107656740623167 0.00479646724122907 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80107 0.0000189088367982407 0.00378129460917942 0.0000189088367982407 0.00378129460917942 0.000270020074681978 0.0219115925075142 0.000171830956615804 0.0139437406865999 0.0000981891180661737 0.00796785182091425 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80108 0.0000138371905601706 0.00373001485016053 0.0000138371905601706 0.00373001485016053 0.000234279737761792 0.0271451269095022 0.000147751332874161 0.0171194005944944 0.0000865284048876304 0.0100257263150078 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
