ZIP,cvd_n,resp_n,total_pop,cardiopulm_n,total_pop5y,cardiopulm_per_100p5y,cvd_per_100p5y,resp_per_100p5y
80538,5500,3518,45636,9018,228180,3.952143044964502,2.4103777719344377,1.541765273030064
80540,274,167,4888,441,24440,1.8044189852700492,1.1211129296235678,0.6833060556464812
80542,236,155,3705,391,18525,2.1106612685560053,1.2739541160593792,0.8367071524966262
80543,367,289,6094,656,30470,2.152937315392189,1.2044634066294717,0.9484739087627173
80545,39,33,638,72,3190,2.25705329153605,1.2225705329153604,1.0344827586206897
80546,5,7,110,12,550,2.181818181818182,0.9090909090909091,1.2727272727272727
80547,30,20,1223,50,6115,0.8176614881439084,0.49059689288634506,0.3270645952575634
80549,422,255,9540,677,47700,1.419287211740042,0.8846960167714885,0.5345911949685535
80722,19,9,280,28,1400,2,1.3571428571428572,0.6428571428571428
80723,801,627,7099,1428,35495,4.023101845330328,2.2566558670235244,1.7664459783068038
80726,18,9,438,27,2190,1.2328767123287672,0.821917808219178,0.410958904109589
80727,34,26,314,60,1570,3.821656050955414,2.1656050955414012,1.6560509554140128
80728,77,65,1033,142,5165,2.749273959341723,1.4908034849951597,1.2584704743465636
80729,23,25,527,48,2635,1.8216318785578747,0.8728652751423149,0.9487666034155597
80731,137,82,1342,219,6710,3.263785394932936,2.0417287630402385,1.2220566318926975
80733,44,33,464,77,2320,3.318965517241379,1.896551724137931,1.4224137931034484
80734,266,190,2972,456,14860,3.0686406460296096,1.7900403768506057,1.278600269179004
80735,8,5,431,13,2155,0.6032482598607889,0.37122969837587005,0.23201856148491878
80736,37,18,576,55,2880,1.9097222222222223,1.284722222222222,0.625
80550,1870,1150,22406,3020,112030,2.6957065071855753,1.669195751138088,1.0265107560474873
80601,3135,2061,35764,5196,178820,2.9057152443798233,1.7531596018342466,1.1525556425455765
80602,1252,1091,28909,2343,144545,1.620948493548722,0.8661662458058044,0.7547822477429175
80603,773,644,11502,1417,57510,2.4639193183794124,1.344114067118762,1.1198052512606502
80610,113,79,2732,192,13660,1.4055636896046853,0.8272327964860907,0.5783308931185944
80611,38,25,626,63,3130,2.0127795527156547,1.2140575079872205,0.7987220447284344
